,,Anatomy and Physiology,Astronomy,Cell Biology,Chemistry Lab,Disease Detectives,Dynamic Planet,Experimental Design,Forensics,Fossils,Game On,GeoLogic Mapping,Green Generation,Hydrogeology,Invasive Species,It's About Time,Protein Modeling,Wind Power,Write It Do It,Air Trajectory,Bridge Building,Electric Vehicle,Robot Arm,Wright Stuff,Code Busters (Trial),Mystery Design (Trial),Remote Sensing (Trial)
44,Catalina Foothills H.S. (AZ),47,33,37,34,26,55,49,37,36,45,25,21,19,50,35,30,46,43,52,57,48,48,56,61,61,61
57,Casady School (OK),32,48,49,45,21,58,30,54,60,47,38,42,53,43,49,9,45,47,45,46,45,39,11,27,18,40
48,Baton Rouge Magnet H.S. (LA),44,30,11,5,33,33,50,45,56,58,53,27,46,22,58,33,50,59,35,54,56,56,47,61,61,61
54,St. Mary's Academy (OR),45,47,57,57,42,51,40,51,46,27,44,28,43,30,50,41,38,24,28,48,37,31,59,18,10,37
50,Ames H.S. (IA),55,54,45,41,51,41,42,36,44,13,20,43,49,33,53,45,42,46,44,56,47,32,58,61,61,61
47,Clinton H.S. (SC),34,51,54,52,56,15,39,55,23,56,46,49,47,49,59,55,47,58,15,43,33,36,39,61,61,61
51,Waterville Senior H.S. (ME),56,59,51,59,46,59,53,53,53,2,59,55,60,54,44,56,27,6,32,50,42,13,36,61,41,36
26,Bismarck H.S. (ND),46,52,48,53,53,53,47,24,40,40,45,50,55,46,47,48,36,56,42,13,21,60,51,61,61,61
41,Hamilton H.S. (MT),54,44,29,28,54,47,55,39,49,53,36,60,52,56,52,28,51,50,47,41,60,40,10,61,61,61
43,Maple Mountain H.S. (UT),42,40,50,49,38,38,60,49,47,62,57,57,21,42,48,47,59,45,59,44,60,28,37,41,25,23
53,Capital H.S. (ID),58,55,60,55,49,60,51,58,59,30,47,30,54,52,46,44,48,22,50,32,36,45,38,61,61,61
59,Yankton H.S. (SD),52,53,55,56,39,54,56,33,57,50,60,52,56,47,56,51,57,10,31,45,28,60,44,36,3,38
55,Little Rock Central H.S. (AR),43,57,59,54,57,44,58,42,51,46,49,26,15,44,60,53,54,21,49,60,60,52,48,15,36,43
45,Oxford H.S. (MS),49,46,40,17,59,40,52,59,50,52,48,38,50,59,41,52,55,60,51,55,60,44,50,61,61,61
46,Bedford H.S. (NH),59,45,53,43,48,35,45,46,52,51,56,59,58,58,57,57,52,49,25,52,46,41,57,35,61,44
60,Huntington H.S. (WV) ,60,60,58,60,58,49,57,60,58,43,52,58,57,57,55,59,56,36,43,58,25,54,45,61,32,33
58,Campbell County H.S. (WY) ,50,58,56,50,60,57,59,50,55,59,55,48,59,60,54,61,60,34,48,59,52,47,55,61,61,61
