,,Anatomy and Physiology,Bio-Process Lab,Crave the Wave,Crime Busters,Disease Detectives,Dynamic Planet,Experimental Design,Food Science,Fossils,Green Generation,Invasive Species,Meteorology,Reach for the Stars,Road Scholar,Wind Power,Write It Do It,Air Trajectory,Bottle Rocket,Elastic Launch Glider,Bridge Building,Mission Possible,Picture This,Scrambler,Hovercraft (Trial),Potions and Poisons (Trial),Geocaching (Trial)
56,Hyde Park Middle School Academy of Science and Mathematics (NV),20,25,38,39,47,31,15,28,33,41,32,53,51,40,52,31,51,54,57,41,49,27,55,28,13,5
58,Yankton M.S. (SD),49,51,44,31,48,48,54,46,43,48,50,55,35,44,39,40,49,21,27,23,18,48,7,18,34,33
34,Mission M.S. (NE),40,31,31,11,46,40,48,39,26,54,40,45,32,23,48,53,53,58,45,52,42,44,25,29,37,44
45,St. Joseph's Catholic (ID),53,54,55,55,44,39,19,49,8,37,24,42,60,51,51,32,52,52,31,51,46,17,43,23,18,23
29,Wachter M.S. (ND),39,48,49,37,45,53,52,47,41,32,46,44,52,42,59,28,57,28,43,25,54,35,29,61,61,61
22,Galaxy M.S. (FL),51,42,53,40,52,45,51,50,54,30,59,40,37,48,44,52,32,34,44,56,25,47,20,61,16,39
41,Paragon Science Academy (AZ),59,55,51,49,61,52,35,57,57,42,48,52,54,50,1,47,37,29,24,31,39,31,48,61,61,61
46,Casady School (OK),44,44,41,46,54,51,47,40,42,36,45,54,44,41,42,48,42,40,50,47,41,39,40,30,4,45
48,Barrington M.S. (RI),45,35,56,52,42,25,41,55,59,39,56,36,55,38,45,57,43,33,59,55,50,42,56,61,15,41
54,St. John Berchmans (LA),50,47,46,48,43,43,42,59,49,58,58,34,49,55,56,54,55,25,54,26,60,45,31,61,46,61
50,Teeland M.S. (AK),48,45,54,54,58,54,33,56,48,59,57,30,56,53,55,49,18,45,51,58,34,29,51,25,39,43
57,Medomak M.S. (ME),56,58,50,59,51,58,57,53,51,52,60,58,59,60,58,51,54,18,34,50,40,58,13,61,61,61
53,LISA Academy (AR),41,41,52,51,41,49,60,61,56,45,53,41,46,58,57,45,50,56,52,54,61,50,50,61,61,61
39,Corvallis M.S. (MT),60,61,47,50,55,57,59,54,44,51,25,59,57,59,46,59,58,57,26,46,44,60,47,20,61,61
59,Riverton M.S. (WY),58,56,60,60,50,59,55,43,39,44,27,57,48,54,60,6,60,60,61,57,61,53,59,61,61,61
60,Huntington M.S. (WV),52,59,59,56,59,47,58,33,60,60,54,56,58,56,54,55,46,50,47,43,53,59,57,36,45,36
49,Germantown M.S. (MS),55,57,57,53,53,55,53,48,58,49,43,60,53,57,49,56,59,47,58,49,55,56,54,27,24,31
